date_eom,date,days,id_meter,gas_m3,cons,av_day
2011-06-30,2011-06-01,0,8,1,0,
2011-07-31,2011-07-12,41,8,,,
2011-08-31,,,8,,,
2011-09-30,,,8,,,
2011-10-31,,,8,,,
2011-11-30,,,8,,,
2011-12-31,,,8,,,
2012-01-31,,,8,,,
2012-02-29,2012-02-02,205,8,256.622,255.622,1.039113821
2012-03-31,2012-03-26,53,8,,,
2012-04-30,,,8,,,
2012-05-31,,,8,,,
2012-06-30,,,8,,,
2012-07-31,2012-07-12,108,8,,,
2012-08-31,,,8,,,
2012-09-30,,,8,,,
2012-10-31,,,8,,,
2012-11-30,,,8,,,
2012-12-31,,,8,,,
2013-01-31,,,8,,,
2013-02-28,2013-02-04,207,8,706.558,449.936,2.173603865
2013-03-31,,,8,,,
2013-04-30,,,8,,,
2013-05-31,,,8,,,
2013-06-30,2013-06-07,123,8,,,
2013-07-31,,,8,,,
2013-08-31,,,8,,,
2013-09-30,,,8,,,
2013-10-31,,,8,,,
2013-11-30,,,8,,,
2013-12-31,,,8,,,
2014-01-31,,,8,,,
2014-02-28,2014-02-04,242,8,1179.468,472.91,1.954173554
2014-03-31,,,8,,,
2014-04-30,,,8,,,
2014-05-31,,,8,,,
2014-06-30,2014-06-28,144,8,,,
2014-07-31,,,8,,,
2014-08-31,,,8,,,
2014-09-30,2014-09-04,0,1,38911.506,,
2014-09-30,2014-09-12,8,1,38921.393,9.887,1.235875
2014-10-02,2014-10-02,96,8,1648.469,,
2014-11-30,2014-11-28,77,1,,,
2014-12-31,2014-12-16,18,1,39297.241,375.848,3.956294737
2015-01-31,2015-01-07,22,1,39469.722,172.481,7.840045455
2015-02-28,,,1,,,
2015-03-31,,,1,,,
2015-04-30,,,1,,,
2015-05-31,,,1,,,
2015-06-30,,,1,,,
2015-07-31,2015-07-01,175,1,39946.121,476.399,2.72228
2015-07-31,2015-07-23,22,1,39946.121,0,0
2015-08-31,,,1,,,
2015-09-30,2015-09-08,47,1,,,
2015-10-31,2015-10-01,23,1,40004.874,58.753,0.8393285714
2015-11-30,2015-11-19,49,1,,,
2015-12-31,2015-12-01,12,1,40150.725,145.851,2.391
2015-12-31,2015-12-16,15,1,40208.968,58.243,3.882866667
2016-01-31,2016-01-01,16,1,40247.263,38.295,2.3934375
2016-01-31,2016-01-07,6,1,40275.291,28.028,4.671333333
2016-01-31,2016-01-17,10,1,40323.532,48.241,4.8241
2016-01-31,2016-01-21,4,1,40355.344,31.812,7.953
2016-02-29,2016-02-01,11,1,40408.942,53.598,4.872545455
2016-02-29,2016-02-16,15,1,40493.759,84.817,5.654466667
2016-03-31,2016-03-01,14,1,40568.736,74.977,5.3555
2016-04-30,2016-04-01,31,1,40704.691,135.955,4.385645161
2016-04-30,2016-04-16,15,1,40746.273,41.582,2.772133333
2016-05-31,2016-05-01,15,1,40804.592,58.319,3.887933333
2016-06-30,2016-06-01,31,1,40857.521,52.929,1.707387097
2016-07-31,2016-07-01,30,1,40890.276,32.755,1.091833333
2016-07-31,2016-07-04,3,1,40893.703,3.427,1.142333333
2016-08-31,2016-08-01,28,1,40920.425,26.722,0.9543571429
2016-08-31,2016-08-12,11,1,40932.241,11.816,1.074181818
2016-09-30,2016-09-01,20,1,40949.558,17.317,0.86585
2016-09-30,2016-09-13,12,1,40970.539,20.981,1.748416667
2016-10-31,,,1,,,
2016-11-30,2016-11-26,74,1,,,
2016-12-31,,,1,,,
2017-01-31,2016-12-31,35,1,41219.404,248.865,2.283165138
2017-01-31,2017-01-01,1,1,,,
2017-02-28,2017-02-01,31,1,,,
2017-03-31,2017-03-01,28,1,,,
2017-04-30,2017-04-01,31,1,,,
2017-05-31,2017-05-01,30,1,,,
2017-06-30,2017-06-01,31,1,,,
2017-07-31,2017-07-19,48,1,41254.391,34.987,0.174935
2017-08-31,2017-08-01,13,1,41261.853,7.462,0.574
2017-08-31,2017-08-18,17,1,41280.339,18.486,1.087411765
2017-09-30,2017-09-01,14,1,41295.821,15.482,1.105857143
2017-09-30,2017-09-12,11,1,41308.614,12.793,1.163
2017-10-31,2017-10-01,19,1,41334.309,25.695,1.352368421
2017-11-30,2017-11-01,31,1,41379.205,44.896,1.448258065
2017-11-30,2017-11-23,22,1,41449.173,69.968,3.180363636
2017-12-31,2017-12-01,8,1,41487.973,38.8,4.85
2018-01-31,2018-01-01,31,1,41647.077,159.104,5.132387097
2018-02-28,2018-02-01,31,1,41785.319,138.242,4.459419355
2018-03-31,2018-03-01,28,1,41951.642,166.323,5.940107143
2018-04-30,2018-04-01,31,1,42086.459,134.817,4.348935484
2018-05-31,2018-05-01,30,1,42130.17,43.711,1.457033333
2018-06-30,2018-06-01,31,1,42164.166,33.996,1.096645161
2018-06-30,2018-06-22,21,1,42184.592,20.426,0.9726666667
2018-07-31,2018-07-01,9,1,42194.08,9.488,1.054222222
2018-08-31,2018-08-03,33,1,42219.005,24.925,0.7553030303
2018-08-31,2018-08-30,27,1,42239.824,20.819,0.7710740741
2018-09-30,,,1,,,
2018-10-31,2018-10-09,40,1,42279.819,39.995,0.999875
2018-11-30,2018-11-01,23,1,42324.514,44.695,1.94326087
2018-11-30,2018-11-28,27,1,42437.374,112.86,4.18
2018-12-31,,,1,,,
2019-01-31,2019-01-01,34,1,42597.161,159.787,4.699617647
2019-02-28,2019-02-01,31,1,42779.361,182.2,5.877419355
2019-03-31,2019-03-03,30,1,42912.829,133.468,4.448933333
2019-04-30,2019-04-01,29,1,43027.218,114.389,3.944448276
2019-05-31,2019-05-01,30,1,43085.609,58.391,1.946366667
2019-06-30,2019-06-01,31,1,43131.808,46.199,1.490290323
2019-07-31,2019-07-07,36,1,43169.083,83.474,1.245880597
2019-08-31,2019-08-03,27,1,43190.486,21.403,0.7927037037
2019-08-31,2019-08-30,27,1,43221.263,30.777,1.139888889
2019-09-30,,,1,,,
2019-10-31,2019-10-01,32,1,43265.707,44.444,1.388875
2019-11-30,2019-11-01,31,1,43322.943,57.236,1.846322581
2019-12-31,2019-12-01,30,1,43461.869,138.926,4.630866667
2020-01-31,2020-01-01,31,1,43620.979,159.11,5.132580645
2020-02-29,2020-02-01,31,1,43788.956,167.977,5.418612903
2020-02-29,2020-02-18,17,1,43881.07242,92.11641935,5.418612903
2020-03-31,2020-03-01,12,1,43935.372,54.29958065,4.524965054
2020-04-30,2020-04-01,31,1,44066.083,130.711,4.216483871
2020-05-31,2020-05-01,30,1,44117.899,51.816,1.7272
2020-06-30,2020-06-01,31,1,44163.294,45.395,1.464354839
2020-07-31,2020-07-01,30,1,44192.888,29.594,0.9864666667
2020-08-31,2020-08-01,31,1,44216.324,23.436,0.756
2020-09-30,2020-09-01,31,1,44237.484,21.16,0.6825806452
2020-10-31,2020-10-01,30,1,44271.325,33.841,1.128033333
2020-11-30,2020-11-01,31,1,44342.923,71.598,2.309612903
2020-12-31,2020-12-02,31,1,44457.781,114.858,3.705096774
2021-01-31,2021-01-01,30,1,44608.739,150.958,5.031933333
2021-02-28,2021-02-02,32,1,44827.638,218.899,6.84059375
2021-03-31,2021-03-01,27,1,44973.496,145.858,5.402148148
2021-03-31,2021-03-04,3,1,,,
2021-04-30,2021-04-01,28,1,45105.337,131.841,4.252935484
2021-05-31,2021-05-01,30,1,45227.29,121.953,4.0651
2021-05-31,2021-05-07,6,1,,,
2021-06-30,2021-06-02,26,1,45296.598,69.308,2.165875
2021-07-31,2021-07-02,30,1,45326.901,30.303,1.0101
2021-07-31,2021-07-17,15,1,45326.902,0.001000000004,0.00006666666692
2021-07-31,2021-07-27,10,1,45330.119,3.217,0.3217
2021-08-31,2021-08-01,5,1,45335.101,4.982,0.9964
2021-09-30,2021-08-31,30,1,45365.753,30.652,1.021733333
2021-10-31,2021-10-01,31,1,45403.457,37.704,1.216258065
2021-11-30,2021-11-01,31,1,45479.525,76.068,2.453806452
2021-12-31,2021-11-30,29,1,45624.257,144.732,4.990758621
2022-01-31,2022-01-01,32,1,45811.534,187.277,5.85240625
2022-02-28,,,1,,,
2022-03-31,2022-03-04,62,1,46148.436,336.902,5.433903226
2022-04-30,2022-04-01,28,1,46217.613,69.177,2.470607143
2022-05-31,2022-05-01,30,1,46282.335,64.722,2.1574
2022-06-30,2022-06-03,33,1,46314.443,32.108,0.972969697
2022-06-30,2022-06-27,24,1,46333.34,18.897,0.787375
2022-07-31,2022-07-22,25,1,46333.34,0,0
2022-08-31,2022-08-01,10,1,46339.646,6.306,0.6306
2022-08-31,2022-08-27,26,1,46357.354,17.708,0.6810769231
2022-09-30,,,1,,,
2022-10-31,,,1,,,
2022-11-30,2022-11-02,67,1,46428.27,70.916,1.058447761
2022-11-30,2022-11-06,4,1,46434.502,6.232,1.558
2022-12-31,2022-12-02,26,1,46528.111,93.609,3.600346154
2023-01-31,2023-01-01,30,1,46698.276,170.165,5.672166667
2023-02-28,2023-02-02,32,1,46861.662,163.386,5.1058125
2023-03-31,2023-03-03,29,1,46989.346,127.684,4.402896552
2023-04-30,2023-04-02,30,1,47123.22,133.874,4.462466667
2023-04-30,2023-04-06,4,1,47138.798,15.578,3.8945
2023-05-31,2023-05-03,27,1,47167.986,29.188,1.081037037
2023-06-30,2023-06-01,29,1,47199.233,31.247,1.077482759
2023-06-30,2023-06-17,16,1,47215.236,16.003,1.0001875
2023-06-30,2023-06-22,5,1,47220.318,5.082,1.0164
2023-07-31,2023-07-05,13,1,47231.963,11.645,0.8957692308
2023-08-31,2023-08-03,29,1,47239.089,7.126,0.2457241379
2023-08-31,2023-08-10,7,1,47241.385,2.296,0.328
2023-09-30,2023-09-01,22,1,47258.173,16.788,0.7630909091
2023-10-31,,,1,,,
2023-11-30,2023-11-01,61,1,47331.043,72.87,1.194590164
2023-12-31,2023-12-04,33,1,47493.523,162.48,4.923636364
2024-01-31,2024-01-01,28,1,47633.192,139.669,4.988178571
2024-02-29,2024-02-03,33,1,47856.587,223.395,6.769545455
2024-03-31,2024-03-02,28,1,47984.123,127.536,4.554857143
2024-04-30,2024-04-07,36,1,48070.731,86.608,2.405777778
2024-05-31,2024-05-01,24,1,48123.042,52.311,2.179625
2024-06-30,2024-06-01,31,1,48156.325,33.283,1.073645161
