date_eom,date,days,id_meter,power_kwh,cons,av_day
2011-06-30,2011-06-01,0,7,0,0,
2011-07-31,2011-07-12,41,7,,,
2011-08-31,,,7,,,
2011-09-30,,,7,,,
2011-10-31,,,7,,,
2011-11-30,,,7,,,
2011-12-31,,,7,,,
2012-01-31,,,7,,,
2012-02-29,2012-02-02,205,7,,,
2012-03-31,2012-03-26,53,7,1216.5,1216.5,4.068561873
2012-04-30,,,7,,,
2012-05-31,,,7,,,
2012-06-30,,,7,,,
2012-07-31,2012-07-12,108,7,,,
2012-08-31,,,7,,,
2012-09-30,,,7,,,
2012-10-31,,,7,,,
2012-11-30,,,7,,,
2012-12-31,,,7,,,
2013-01-31,,,7,,,
2013-02-28,2013-02-04,207,7,,,
2013-03-31,,,7,,,
2013-04-30,,,7,,,
2013-05-31,,,7,,,
2013-06-30,2013-06-07,123,7,,,
2013-07-31,,,7,,,
2013-08-31,,,7,,,
2013-09-30,,,7,,,
2013-10-31,,,7,,,
2013-11-30,,,7,,,
2013-12-31,,,7,,,
2014-01-31,,,7,,,
2014-02-28,2014-02-04,242,7,,,
2014-03-31,,,7,,,
2014-04-30,,,7,,,
2014-05-31,,,7,,,
2014-06-30,2014-06-28,144,7,,,
2014-07-31,,,7,,,
2014-08-31,,,7,,,
2014-09-30,2014-09-04,0,4,51419.3,,
2014-09-30,2014-09-12,8,4,,,
2014-10-31,2014-10-02,96,7,2232.2,,
2014-11-30,2014-11-28,77,4,,,
2014-12-31,2014-12-16,18,4,51712,292.7,2.841747573
2015-01-31,2015-01-07,22,4,,,
2015-02-28,,,4,,,
2015-03-31,,,4,,,
2015-04-30,,,4,,,
2015-05-31,,,4,,,
2015-06-30,,,4,,,
2015-07-31,2015-07-01,175,4,52181.7,469.7,2.384263959
2015-07-31,2015-07-23,22,4,52182.1,0.4,0.01818181818
2015-08-31,,,4,,,
2015-09-30,2015-09-08,47,4,,,
2015-10-31,2015-10-01,23,4,52354.4,172.3,2.461428571
2015-11-30,2015-11-19,49,4,52487,132.6,2.706122449
2015-12-31,2015-12-01,12,4,52524.1,37.1,3.091666667
2015-12-31,2015-12-16,15,4,52567.6,43.5,2.9
2016-01-31,2016-01-01,16,4,52612.2,44.6,2.7875
2016-01-31,2016-01-07,6,4,52632.5,20.3,3.383333333
2016-01-31,2016-01-17,10,4,52659.6,27.1,2.71
2016-01-31,2016-01-21,4,4,52671.5,11.9,2.975
2016-02-29,2016-02-01,11,4,52707.4,35.9,3.263636364
2016-02-29,2016-02-16,15,4,52754.7,47.3,3.153333333
2016-03-31,2016-03-01,14,4,52794,39.3,2.807142857
2016-04-30,2016-04-01,31,4,52884.8,90.8,2.929032258
2016-04-30,2016-04-16,15,4,52933.7,48.9,3.26
2016-05-31,2016-05-01,15,4,52981.1,47.4,3.16
2016-06-30,2016-06-01,31,4,53073.1,92,2.967741935
2016-07-31,2016-07-01,30,4,53148.6,75.5,2.516666667
2016-07-31,2016-07-04,3,4,53156,7.4,2.466666667
2016-08-31,2016-08-01,28,4,53223.5,67.5,2.410714286
2016-08-31,2016-08-12,11,4,53250.4,26.9,2.445454545
2016-09-30,2016-09-01,20,4,53296.8,46.4,2.32
2016-09-30,2016-09-13,12,4,53349,52.2,4.35
2016-10-31,,,4,,,
2016-11-30,2016-11-26,74,4,53435.7,86.7,1.171621622
2016-12-31,,,4,,,
2017-01-31,2016-12-31,35,4,53494.7,197.9,1.63553719
2017-01-31,2017-01-01,1,4,,,
2017-02-28,2017-02-01,31,4,,,
2017-03-31,2017-03-01,28,4,,,
2017-04-30,2017-04-01,31,4,,,
2017-05-31,2017-05-01,30,4,,,
2017-06-30,2017-06-01,31,4,,,
2017-07-31,2017-07-19,48,4,,,
2017-08-31,2017-08-01,13,4,53533,97.3,0.4568075117
2017-08-31,2017-08-18,17,4,53563.9,30.9,1.817647059
2017-09-30,2017-09-01,14,4,53596.3,32.4,2.314285714
2017-09-30,2017-09-12,11,4,53626.7,30.4,2.763636364
2017-10-31,2017-10-01,19,4,53669.9,43.2,2.273684211
2017-11-30,2017-11-01,31,4,53738.7,68.8,2.219354839
2017-11-30,2017-11-23,22,4,53790.7,52,2.363636364
2017-12-31,2017-12-01,8,4,53813.4,22.7,2.8375
2018-01-31,2018-01-01,31,4,53888.3,74.9,2.416129032
2018-02-28,2018-02-01,31,4,53960.9,72.6,2.341935484
2018-03-31,2018-03-01,28,4,54032.2,71.3,2.546428571
2018-04-30,2018-04-01,31,4,54108.3,76.1,2.45483871
2018-05-31,2018-05-01,30,4,54174.1,65.8,2.193333333
2018-06-30,2018-06-01,31,4,54235,60.9,1.964516129
2018-06-30,2018-06-22,21,4,54280.1,45.1,2.147619048
2018-07-31,2018-07-01,9,4,54305.3,25.2,2.8
2018-08-31,2018-08-03,33,4,54386.6,81.3,2.463636364
2018-08-31,2018-08-30,27,4,54441.7,55.1,2.040740741
2018-09-30,,,4,,,
2018-10-31,2018-10-09,40,4,54536.2,94.5,2.3625
2018-11-30,2018-11-01,23,4,54590.6,54.4,2.365217391
2018-11-30,2018-11-28,27,4,54666,75.4,2.792592593
2018-12-31,,,4,,,
2019-01-31,2019-01-01,34,4,54770.8,104.8,3.082352941
2019-02-28,2019-02-01,31,4,54880.4,109.6,3.535483871
2019-03-31,2019-03-03,30,4,54975.2,94.8,3.16
2019-04-30,2019-04-01,29,4,55076,100.8,3.475862069
2019-05-31,2019-05-01,30,4,55156.2,80.2,2.673333333
2019-06-30,2019-06-01,31,4,55241.6,85.4,2.75483871
2019-07-31,2019-07-07,36,4,55328.9,172.7,2.57761194
2019-08-31,2019-08-03,27,4,55372.4,43.5,1.611111111
2019-08-31,2019-08-30,27,4,55451.8,79.4,2.940740741
2019-09-30,,,4,,,
2019-10-31,2019-10-01,32,4,55552.4,100.6,3.14375
2019-11-30,2019-11-01,31,4,55648.2,95.8,3.090322581
2019-12-31,2019-12-01,30,4,55739.9,91.7,3.056666667
2020-01-31,2020-01-01,31,4,55838.5,98.6,3.180645161
2020-02-29,2020-02-01,31,4,55944.3,105.8,3.412903226
2020-02-29,2020-02-18,17,4,56002.31935,58.01935484,3.412903226
2020-03-31,2020-03-01,12,4,56041.5,39.18064516,3.265053763
2020-04-30,2020-04-01,31,4,56138.3,96.8,3.122580645
2020-05-31,2020-05-01,30,4,56216.3,78,2.6
2020-06-30,2020-06-01,31,4,56300,83.7,2.7
2020-07-31,2020-07-01,30,4,56385.6,85.6,2.853333333
2020-08-31,2020-08-01,31,4,56472.6,87,2.806451613
2020-09-30,2020-09-01,31,4,56569.2,96.6,3.116129032
2020-10-31,2020-10-01,30,4,56668.5,99.3,3.31
2020-11-30,2020-11-01,31,4,56789.5,121,3.903225806
2020-12-31,2020-12-02,31,4,56904.5,115,3.709677419
2021-01-31,2021-01-01,30,4,57010.9,106.4,3.546666667
2021-02-28,2021-02-02,32,4,57135.6,124.7,3.896875
2021-03-31,2021-03-01,27,4,57227.8,92.2,3.414814815
2021-03-31,2021-03-04,3,4,57234.2,6.4,2.133333333
2021-04-30,2021-04-01,28,5,104.9,93.2,3.328571429
2021-05-31,2021-05-01,30,5,215.2,110.3,3.676666667
2021-05-31,2021-05-07,6,5,241.6,26.4,4.4
2021-06-30,2021-06-02,26,5,332.3,90.7,3.488461538
2021-07-31,2021-07-02,30,5,421.8,89.5,2.983333333
2021-07-31,2021-07-17,15,5,429.3,7.5,0.5
2021-07-31,2021-07-27,10,5,456.1,26.8,2.68
2021-08-31,2021-08-01,5,5,468.4,12.3,2.46
2021-09-30,2021-08-31,30,5,558.1,89.7,2.99
2021-10-31,2021-10-01,31,5,646.9,88.8,2.864516129
2021-11-30,2021-11-01,31,5,760.3,113.4,3.658064516
2021-12-31,2021-11-30,29,5,862.7,102.4,3.531034483
2022-01-31,2022-01-01,32,5,996.6,133.9,4.184375
2022-02-28,,,5,,,
2022-03-31,2022-03-04,62,5,1222.8,226.2,3.648387097
2022-04-30,2022-04-01,28,5,1320.2,97.4,3.478571429
2022-05-31,2022-05-01,30,5,1404.7,84.5,2.816666667
2022-06-30,2022-06-03,33,5,1492.7,88,2.666666667
2022-06-30,2022-06-27,24,5,1551.6,58.9,2.454166667
2022-07-31,2022-07-22,25,5,1552,0.4,0.016
2022-08-31,2022-08-01,10,5,1576.3,24.3,2.43
2022-08-31,2022-08-27,26,5,1649,72.7,2.796153846
2022-09-30,,,5,,,
2022-10-31,,,5,,,
2022-11-30,2022-11-02,67,5,1825.8,176.8,2.63880597
2022-11-30,2022-11-06,4,5,1838.7,12.9,3.225
2022-12-31,2022-12-02,26,5,1913.3,74.6,2.869230769
2023-01-31,2023-01-01,30,5,2034.3,121,4.033333333
2023-02-28,2023-02-02,32,5,2148.8,114.5,3.578125
2023-03-31,2023-03-03,29,5,2260.7,111.9,3.85862069
2023-04-30,2023-04-02,30,5,2377.2,116.5,3.883333333
2023-04-30,2023-04-06,4,5,2391,13.8,3.45
2023-05-31,2023-05-03,27,5,2467.3,76.3,2.825925926
2023-06-30,2023-06-01,29,5,2554,86.7,2.989655172
2023-06-30,2023-06-17,16,5,2596.7,42.7,2.66875
2023-06-30,2023-06-22,5,5,2609.9,13.2,2.64
2023-07-31,2023-07-05,13,5,2648.4,38.5,2.961538462
2023-08-31,2023-08-03,29,5,2690.1,41.7,1.437931034
2023-08-31,2023-08-10,7,5,2704.2,14.1,2.014285714
2023-09-30,2023-09-01,22,5,2769.4,65.2,2.963636364
2023-10-31,,,5,,,
2023-11-30,2023-11-01,61,5,2982.6,213.2,3.495081967
2023-12-31,2023-12-04,33,5,3117.3,134.7,4.081818182
2024-01-31,2024-01-01,28,5,3222.6,105.3,3.760714286
2024-02-29,2024-02-03,33,5,3366.1,143.5,4.348484848
2024-03-31,2024-03-02,28,5,3468.6,102.5,3.660714286
2024-04-30,2024-04-07,36,5,3591.9,123.3,3.425
2024-05-31,2024-05-01,24,5,3683.2,91.3,3.804166667
2024-06-30,2024-06-01,31,5,3793.1,109.9,3.54516129
