date,id_meter,water_m3,calc_cons
2014-09-30,2.0,3203.3238352941175,8.447247058823521
2014-10-31,2.0,3969.9701411764704,10.071717647058833
2014-11-30,2.0,4139.250023529412,9.79036862745096
2014-12-31,2.0,4591.983746192894,10.182884940778365
2015-01-31,2.0,4893.521050761421,9.581517766497456
2015-02-28,2.0,4675.255583756345,8.654274111675136
2015-03-31,2.0,5458.830598984772,9.581517766497456
2015-04-30,2.0,5565.548604060914,9.272436548223368
2015-05-31,2.0,6043.303182741117,9.581517766497456
2015-06-30,2.0,6131.167233502539,9.27243654822334
2015-07-31,2.0,6487.9210851063835,1.168655686359216
2015-08-31,2.0,6563.993425531915,3.3308510638297832
2015-09-30,2.0,6543.149489361702,11.274183163737291
2015-10-31,2.0,7087.085836065574,7.502735566642912
2015-11-30,2.0,7072.865163934426,7.029344262295069
2015-12-31,2.0,7544.9295,7.390623975409824
2016-01-31,2.0,7734.187,6.726232954545452
2016-02-29,2.0,7507.4015,10.787668831168844
2016-03-31,2.0,8381.681,12.258398617511489
2016-04-30,2.0,8551.57,19.339920430107554
2016-05-31,2.0,9441.444,16.97888602150539
2016-06-30,2.0,9555.509,11.212513978494599
2016-07-31,2.0,10209.848,10.570995238095236
2016-08-31,2.0,10511.64,8.573771428571433
2016-09-30,2.0,10496.394747706421,9.754327522935796
2016-10-31,2.0,10984.507009174311,3.072697247706401
2016-11-30,2.0,10720.862201834861,2.973577981651374
2016-12-31,2.0,11171.941541284405,3.072697247706458
2017-01-31,2.0,11218.032000000001,0.0
2017-02-28,2.0,10132.416000000001,0.0
2017-03-31,2.0,11218.032000000001,0.0
2017-04-30,2.0,10856.16,0.0
2017-05-31,2.0,11218.032000000001,0.0
2017-06-30,2.0,10856.16,0.0
2017-07-31,2.0,11230.356,1.8959999999999582
2017-08-31,2.0,11415.1765,8.907357142857165
2017-09-30,2.0,11313.42,8.535958646616564
2017-10-31,2.0,11952.568,8.429103565364983
2017-11-30,2.0,11819.5705,8.566705645161335
2017-12-31,2.0,12466.27,7.553358870967713
2018-01-31,2.0,12706.092,7.985387096774218
2018-02-28,2.0,11711.4115,8.77952188940094
2018-03-31,2.0,13267.416,10.595929723502252
2018-04-30,2.0,13133.9125,9.008844086021497
2018-05-31,2.0,13845.528999999999,8.700768817204334
2018-06-30,2.0,13659.175,8.876842293906805
2018-07-31,2.0,14398.939181818181,9.225040404040385
2018-08-31,2.0,14656.764918181818,7.358281818181865
2018-09-30,2.0,14417.5845,8.312999999999988
2018-10-31,2.0,15162.7284,8.812682608695638
2018-11-30,2.0,14927.370705882353,8.042687979539608
2018-12-31,2.0,15679.280294117647,8.377294117647125
2019-01-31,2.0,15944.387,8.726364326375688
2019-02-28,2.0,14631.912400000001,7.728470967741941
2019-03-31,2.0,16459.3656,9.069055172413755
2019-04-30,2.0,16183.098,7.857544827586253
2019-05-31,2.0,17000.564,10.113380645161214
2019-06-30,2.0,16729.437083333334,8.304224910394396
2019-07-31,2.0,17534.204305555555,7.49230555555539
2019-08-31,2.0,17804.39839236111,10.472170138888941
2019-09-30,2.0,17590.41421875,13.058437500000082
2019-10-31,2.0,18534.639000000003,10.030442540322497
2019-11-30,2.0,18213.288,8.521038709677555
2019-12-31,2.0,19092.918,9.097961290322473
2020-01-31,2.0,19372.012,8.897064516129035
2020-02-29,2.0,11371.428,4.794774193548392
2020-02-29,3.0,21.070500000000003,3.51175
2020-03-31,3.0,287.616,11.213120967741933
2020-04-30,3.0,625.1899999999999,11.866462365591397
2020-05-31,3.0,1028.373,12.767311827956995
2020-06-30,3.0,1318.1055000000001,8.744054838709673
2020-07-31,3.0,1591.7549999999999,6.2011709677419375
2020-08-31,3.0,1782.816,6.21551612903226
2020-09-30,3.0,1947.9675,8.625112903225812
2020-10-31,3.0,2293.275,9.373725806451603
2020-11-30,3.0,2488.338387096774,8.549999999999997
2020-12-31,3.0,2846.846612903226,9.261040860215061
2021-01-31,3.0,3116.4280625,8.101608333333331
2021-02-28,3.0,3038.9359375,7.9696064814814775
2021-03-31,3.0,3656.392,10.808776583034657
2021-04-30,3.0,3886.0344999999998,12.299708602150517
2021-05-31,3.0,4391.684076923078,11.393879487179504
2021-06-30,3.0,4538.832923076923,8.374153846153831
2021-07-31,3.0,4843.054,2.6839999999999975
2021-08-31,3.0,5035.671,8.690000000000026
2021-09-30,3.0,5143.38,9.280645161290323
2021-10-31,3.0,5609.616,9.738064516129043
2021-11-30,3.0,5708.64,8.922290322580636
2021-12-31,3.0,6173.0765,8.795281249999988
2022-01-31,3.0,6450.8785,9.127428427419346
2022-02-28,3.0,6070.096741935484,8.254129032258078
2022-03-31,3.0,7000.834758064516,9.908839861751147
2022-04-30,3.0,7063.212500000001,9.20215476190478
2022-05-31,3.0,7587.872818181818,9.474348484848463
2022-06-30,3.0,7588.991181818182,6.192818181818183
2022-07-31,3.0,7930.389999999999,1.6865999999999701
2022-08-31,3.0,8083.63297761194,7.006191044776131
2022-09-30,3.0,8049.231940298508,7.873432835820893
2022-10-31,3.0,8565.684029850747,8.135880597014932
2022-11-30,3.0,8526.549513777267,7.558972445464974
2022-12-31,3.0,9052.069538461537,8.158589743589744
2023-01-31,3.0,9279.99725,6.511833333333357
2023-02-28,3.0,8560.371405172413,6.30684482758619
2023-03-31,3.0,9713.466211494253,9.005921839080486
2023-04-30,3.0,9652.940133333334,7.321733333333327
2023-05-31,3.0,10208.293,8.219862068965483
2023-06-30,3.0,10131.90926923077,8.482753315649916
2023-07-31,3.0,10657.854023872678,3.136591511936331
2023-08-31,3.0,10771.31020689655,5.759884012539146
2023-09-30,3.0,10634.127540983605,7.288745156482889
2023-10-31,3.0,11218.773459016393,7.546721311475437
2023-11-30,3.0,11088.675454545455,7.90647292598112
2023-12-31,3.0,11694.642045454546,7.227433982683976
2024-01-31,3.0,11935.577727272728,8.445808441558427
2024-02-29,3.0,11400.48862987013,7.695012987013001
2024-03-31,3.0,12434.94580952381,8.350658730158727
2024-04-30,3.0,12280.858333333334,8.112430555555534
2024-05-31,3.0,12926.211,7.1077217741935215
2024-06-30,3.0,420.621,0.2279032258064717
2011-06-30,6.0,125.48780487804878,6.365853658536585
2011-07-31,6.0,346.3865120618419,7.721578035452486
2011-08-31,6.0,600.5191256830601,8.300546448087431
2011-09-30,6.0,826.1475409836065,8.032786885245901
2011-10-31,6.0,1106.8524590163934,8.300546448087431
2011-11-30,6.0,1316.1475409836066,8.032786885245905
2011-12-31,6.0,1613.1857923497269,8.300546448087431
2012-01-31,6.0,1870.5027322404371,8.300546448087438
2012-02-29,6.0,1982.775956284153,7.765027322404364
2012-03-31,6.0,2368.535519125683,8.300546448087431
2012-04-30,6.0,2537.1311475409834,8.032786885245898
2012-05-31,6.0,2874.868852459016,8.300546448087431
2012-06-30,6.0,3027.1311475409834,8.032786885245912
2012-07-31,6.0,3392.5096870342772,9.431296572280175
2012-08-31,6.0,3703.090909090909,10.145454545454541
2012-09-30,6.0,3883.090909090909,9.818181818181827
2012-10-31,6.0,4321.963636363636,10.145454545454527
2012-11-30,6.0,4482.0,9.818181818181813
2012-12-31,6.0,4940.836363636364,10.145454545454555
2013-01-31,6.0,5255.345454545454,10.145454545454555
2013-02-28,6.0,5017.090909090909,9.163636363636357
2013-03-31,6.0,5853.927272727273,10.145454545454555
2013-04-30,6.0,5964.545454545454,9.818181818181813
2013-05-31,6.0,6472.799999999999,10.145454545454527
2013-06-30,6.0,6543.199811587377,8.130287329251075
2013-07-31,6.0,7002.948186528497,7.870466321243526
2013-08-31,6.0,7246.932642487047,7.870466321243526
2013-09-30,6.0,7245.466321243523,7.616580310880835
2013-10-31,6.0,7727.031088082901,7.870466321243526
2013-11-30,6.0,7710.077720207254,7.616580310880806
2013-12-31,6.0,8207.129533678757,7.870466321243555
2014-01-31,6.0,8451.113989637306,7.870466321243498
2014-02-28,6.0,7842.974093264249,7.108808290155423
2014-03-31,6.0,8915.471502590673,7.870466321243555
2014-04-30,6.0,8860.18134715026,7.616580310880806
2014-05-31,6.0,9395.569948186529,7.870466321243498
2014-06-30,6.0,9324.687338082902,7.54630829015548
2014-07-31,6.0,9856.0625,6.78125
2014-08-31,6.0,10066.28125,6.78125
2014-09-30,6.0,9941.71875,6.5625
2014-10-31,6.0,669.78125,0.4375
